name,N,alpha0_best,A_morph,chi2_WT_best,chi2_WT_kappa,chi2_MOND,chi2_LCDM,WT_wins,MOND_wins,LCDM_wins,delta_chi2_WT_MOND,delta_chi2_WT_LCDM,Vmax_kms,Rout_kpc,f_gas_mean,f_gas_outer,M200_Msun,log10_M200,a_char,log10_a_char,m_used,A_morph_cluster,A_morph_cluster_confidence,A_morph_cluster_center
CamB,9,0.207,0.187956,3.72669,87.3093,139.663,31.7723,1,0,0,-135.936,-28.0456,20.1,1.79,0.202761,0.176808,2697220000.0,9.43092,7.31457e-12,-11.1358,1,1,1.0,1.1364993942857144
D512-2,4,0.831,0.754548,0.096332,1.89333,8.10943,0.17326,1,0,0,-8.0131,-0.0769283,37.2,3.83,0.101407,0.139651,17098400000.0,10.233,1.17095e-11,-10.9315,1,1,1.0,1.1364993942857144
D564-8,6,0.629,0.571132,1.53595,13.7708,28.7647,2.53369,1,0,0,-27.2288,-0.997736,25.0,3.07,0.34957,0.458547,5189770000.0,9.71515,6.59768e-12,-11.1806,1,1,1.0,1.1364993942857144
D631-7,16,0.961,0.872588,10.8107,12.5965,31.5709,10.8508,1,0,0,-20.7602,-0.0400701,58.5,7.19,0.581315,0.688432,66496000000.0,10.8228,1.54253e-11,-10.8118,1,1,1.0,1.1364993942857144
DDO064,14,1.238,1.1241,0.423152,0.565616,0.795886,1.4804,1,0,0,-0.372733,-1.05724,46.9,2.98,0.300048,0.623985,34264600000.0,10.5348,2.3921e-11,-10.6212,1,1,1.0,1.1364993942857144
DDO154,12,1.25,1.135,15.1721,77.0623,72.9237,336.548,1,0,0,-57.7516,-321.376,48.2,5.92,0.650202,0.861917,37193700000.0,10.5705,1.27181e-11,-10.8956,1,1,1.0,1.1364993942857144
DDO161,31,0.841,0.763628,2.29924,33.9354,136.978,6.53372,1,0,0,-134.679,-4.23448,67.5,13.37,0.599657,0.807232,102150000000.0,11.0092,1.1044e-11,-10.9569,1,1,1.0,1.1364993942857144
DDO168,10,1.165,1.05782,9.85899,10.3799,23.8707,19.3486,1,0,0,-14.0117,-9.48959,55.0,4.12,0.638275,0.658665,55260600000.0,10.7424,2.37946e-11,-10.6235,1,1,1.0,1.1364993942857144
DDO170,8,0.87,0.78996,3.48107,37.3253,162.007,2.2897,0,0,1,-158.525,1.19137,62.2,12.33,0.568859,0.73347,79928000000.0,10.9027,1.01687e-11,-10.9927,1,1,1.0,1.1364993942857144
ESO079-G014,15,1.675,1.5209,3.0428,44.0662,2.8156,4.75397,0,1,0,0.227197,-1.71117,178.0,16.67,0.0303848,0.0960279,1873220000000.0,12.2726,6.15962e-11,-10.2104,1,1,1.0,1.1364993942857144
ESO116-G012,15,1.78,1.61624,1.87058,44.4727,5.62844,29.8662,1,0,0,-3.75786,-27.9956,112.0,9.86,0.137475,0.346459,466640000000.0,11.669,4.12295e-11,-10.3848,1,1,1.0,1.1364993942857144
ESO444-G084,7,2.309,2.09657,1.20754,63.032,30.0193,68.3439,1,0,0,-28.8118,-67.1364,63.1,4.44,0.57945,0.741583,83448000000.0,10.9214,2.9062e-11,-10.5367,1,1,1.0,1.1364993942857144
ESO563-G021,30,2.456,2.23005,17.941,54.7508,28.9294,17.5444,0,0,1,-10.9884,0.396655,321.0,42.41,0.0255893,0.0997497,10986100000000.0,13.0408,7.87392e-11,-10.1038,1,1,1.0,1.1364993942857144
F561-1,6,0.386,0.350488,0.617916,27.0496,54.4171,9.53815,1,0,0,-53.7992,-8.92024,50.4,9.66,0.151849,0.259402,42522600000.0,10.6286,8.52184e-12,-11.0695,1,1,1.0,1.1364993942857144
F563-1,17,1.812,1.6453,1.15113,4.39119,1.99694,2.69166,1,0,0,-0.845806,-1.54054,112.5,20.1,0.361495,0.719421,472917000000.0,11.6748,2.0406e-11,-10.6902,1,1,1.0,1.1364993942857144
F563-V1,6,0.254,0.230632,0.274931,26.9671,42.6715,5.28638,1,0,0,-42.3966,-5.01145,29.5,7.87,0.296908,0.427738,8526950000.0,9.93079,3.58359e-12,-11.4457,1,1,1.0,1.1364993942857144
F563-V2,10,2.544,2.30995,0.68517,6.37502,3.1299,4.88306,1,0,0,-2.44473,-4.19789,118.0,10.47,0.2233,0.523129,545725000000.0,11.737,4.3099e-11,-10.3655,1,1,1.0,1.1364993942857144
F565-V2,7,1.639,1.48821,0.279159,3.60103,0.810113,3.08858,1,0,0,-0.530954,-2.80942,83.1,8.8,0.448255,0.678066,190603000000.0,11.2801,2.54313e-11,-10.5946,1,1,1.0,1.1364993942857144
F567-2,5,0.622,0.564776,0.363352,5.31308,12.9817,1.06531,1,0,0,-12.6183,-0.701954,52.2,9.59,0.158531,0.349398,47243200000.0,10.6743,9.20814e-12,-11.0358,1,1,1.0,1.1364993942857144
F568-1,12,2.461,2.23459,0.775937,10.4011,4.82172,6.47785,1,0,0,-4.04578,-5.70191,142.0,13.23,0.167544,0.473829,951027000000.0,11.9782,4.93931e-11,-10.3063,1,1,1.0,1.1364993942857144
F568-3,18,1.137,1.0324,2.79419,2.81555,4.88029,3.74004,1,0,0,-2.0861,-0.945843,120.0,17.98,0.116064,0.388103,573947000000.0,11.7589,2.59551e-11,-10.5858,1,1,1.0,1.1364993942857144
F568-V1,15,2.545,2.31086,1.01102,11.5673,5.68976,8.66275,1,0,0,-4.67874,-7.65173,118.0,17.63,0.130928,0.542008,545725000000.0,11.737,2.55954e-11,-10.5918,1,1,1.0,1.1364993942857144
F571-8,13,1.831,1.66255,37.7777,55.0249,42.9916,58.0158,1,0,0,-5.21395,-20.2381,144.0,15.55,0.0126095,0.0397654,991780000000.0,11.9964,4.32159e-11,-10.3644,1,1,1.0,1.1364993942857144
F571-V1,7,1.159,1.05237,0.176633,0.252516,1.72754,0.693767,1,0,0,-1.5509,-0.517134,84.3,13.59,0.349309,0.540022,198980000000.0,11.2988,1.69467e-11,-10.7709,1,1,1.0,1.1364993942857144
F574-1,14,1.415,1.28482,1.99288,6.20081,1.98794,5.5387,0,1,0,0.0049418,-3.54582,99.7,12.6,0.0886164,0.263491,329165000000.0,11.5174,2.55664e-11,-10.5923,1,1,1.0,1.1364993942857144
F574-2,5,0.207,0.187956,0.08741,18.4937,29.2981,5.90196,1,0,0,-29.2107,-5.81455,40.0,10.83,0.216499,0.37561,21257300000.0,10.3275,4.78785e-12,-11.3199,1,1,1.0,1.1364993942857144
F579-V1,14,1.627,1.47732,2.8912,5.07511,2.5532,3.41768,0,1,0,0.337999,-0.526476,114.0,15.16,0.0598999,0.21268,492087000000.0,11.692,2.77818e-11,-10.5562,1,1,1.0,1.1364993942857144
F583-1,25,1.426,1.29481,1.77444,3.39276,1.78195,2.43726,1,0,0,-0.0075057,-0.662816,86.9,16.26,0.184501,0.842659,217965000000.0,11.3384,1.50511e-11,-10.8224,1,1,1.0,1.1364993942857144
F583-4,12,0.994,0.902552,0.111809,0.457473,6.26298,0.17692,1,0,0,-6.15117,-0.0651116,69.9,7.29,0.061681,0.146784,113438000000.0,11.0548,2.17208e-11,-10.6631,1,1,1.0,1.1364993942857144
IC2574,34,0.634,0.575672,31.3443,191.748,420.636,183.295,1,0,0,-389.292,-151.951,67.5,10.23,0.252324,0.562329,102150000000.0,11.0092,1.44338e-11,-10.8406,1,1,1.0,1.1364993942857144
IC4202,32,1.683,1.52816,46.821,54.4686,50.6281,62.6835,1,0,0,-3.80714,-15.8626,250.0,25.9,0.0272348,0.0959446,5189770000000.0,12.7151,7.82041e-11,-10.1068,1,1,1.0,1.1364993942857144
KK98-251,15,0.664,0.602912,1.27394,12.0988,29.9113,3.40402,1,0,0,-28.6374,-2.13008,34.6,3.13,0.583226,0.661648,13758000000.0,10.1386,1.23953e-11,-10.9067,1,1,1.0,1.1364993942857144
NGC0024,29,2.02,1.83416,3.80855,16.7764,6.82878,10.6904,1,0,0,-3.02024,-6.88181,110.0,11.27,0.0562828,0.207929,442085000000.0,11.6455,3.47945e-11,-10.4585,1,1,1.0,1.1364993942857144
NGC0055,21,0.942,0.855336,3.70123,8.20035,58.22,8.88984,1,0,0,-54.5188,-5.1886,87.4,13.5,0.39812,0.32899,221749000000.0,11.3459,1.83374e-11,-10.7367,1,1,1.0,1.1364993942857144
NGC0100,21,1.193,1.08324,1.25,1.49991,5.34123,2.37373,1,0,0,-4.09123,-1.12373,91.2,9.62,0.0816668,0.225205,251949000000.0,11.4013,2.80197e-11,-10.5525,1,1,1.0,1.1364993942857144
NGC0247,26,1.319,1.19765,3.05595,11.1968,10.2542,3.29528,1,0,0,-7.19825,-0.23933,108.0,14.54,0.172577,0.297435,418407000000.0,11.6216,2.59976e-11,-10.5851,1,1,1.0,1.1364993942857144
NGC0289,28,1.066,0.967928,4.09836,4.23649,21.8013,10.8155,1,0,0,-17.7029,-6.71715,194.0,71.12,0.220711,0.391749,2425120000000.0,12.3847,1.71499e-11,-10.7657,1,1,1.0,1.1364993942857144
NGC0300,25,1.461,1.32659,0.591647,8.14074,1.21262,7.30167,1,0,0,-0.620969,-6.71003,97.0,11.8,0.158193,0.276235,303140000000.0,11.4816,2.58411e-11,-10.5877,1,1,1.0,1.1364993942857144
NGC0801,13,0.83,0.75364,21.7823,41.9864,174.934,161.188,1,0,0,-153.151,-139.405,238.0,59.82,0.0445269,0.151646,4477740000000.0,12.6511,3.06872e-11,-10.513,1,1,1.0,1.1364993942857144
NGC0891,18,0.797,0.723676,147.855,153.072,207.575,330.886,1,0,0,-59.72,-183.031,234.0,17.11,0.0189419,0.0505714,4255740000000.0,12.629,1.03713e-10,-9.98417,1,1,1.0,1.1364993942857144
NGC1003,36,1.136,1.03149,3.23579,3.63963,32.9612,3.97516,1,0,0,-29.7254,-0.739367,115.0,30.24,0.280453,0.58828,505151000000.0,11.7034,1.41731e-11,-10.8485,1,1,1.0,1.1364993942857144
NGC1090,24,1.025,0.9307,4.18303,6.24574,102.379,47.1411,1,0,0,-98.1962,-42.9581,176.0,30.09,0.066482,0.196866,1810780000000.0,12.2579,3.3362e-11,-10.4767,1,1,1.0,1.1364993942857144
NGC1705,14,2.448,2.22278,1.23416,23.5117,10.0758,22.4955,1,0,0,-8.84167,-21.2613,73.2,6.0,0.209485,0.351433,130275000000.0,11.1149,2.89415e-11,-10.5385,1,1,1.0,1.1364993942857144
NGC2366,26,0.955,0.86714,4.26728,6.53913,29.2917,5.95581,1,0,0,-25.0244,-1.68854,53.7,6.06,0.48408,0.793141,51434000000.0,10.7113,1.54215e-11,-10.8119,1,1,1.0,1.1364993942857144
NGC2403,73,1.707,1.54996,26.9055,535.296,24.1414,186.569,0,1,0,2.76405,-159.664,136.0,20.87,0.149577,0.429295,835496000000.0,11.9219,2.87213e-11,-10.5418,1,1,1.0,1.1364993942857144
NGC2683,11,1.114,1.01151,3.42754,3.43168,9.40009,14.0427,1,0,0,-5.97254,-10.6152,212.0,34.62,0.019463,0.0235637,3164720000000.0,12.5003,4.20721e-11,-10.376,1,1,1.0,1.1364993942857144
NGC2841,50,2.144,1.94675,18.2188,158.063,51.6275,13.7166,0,0,1,-33.4087,4.5022,323.0,63.64,0.0806817,0.268434,11192700000000.0,13.0489,5.31281e-11,-10.2747,1,1,1.0,1.1364993942857144
NGC2903,34,1.367,1.24124,126.987,140.724,162.75,280.103,1,0,0,-35.763,-153.116,216.0,24.96,0.0259747,0.0624513,3347260000000.0,12.5247,6.05776e-11,-10.2177,1,1,1.0,1.1364993942857144
NGC2915,30,2.202,1.99942,1.12603,10.6537,5.49532,8.15717,1,0,0,-4.36929,-7.03114,86.5,10.04,0.295568,0.587059,214969000000.0,11.3324,2.41517e-11,-10.6171,1,1,1.0,1.1364993942857144
NGC2955,24,0.579,0.525732,38.0521,40.3637,58.8439,83.8003,1,0,0,-20.7918,-45.7483,276.0,35.43,0.0322983,0.132153,6983210000000.0,12.8441,6.96781e-11,-10.1569,1,1,1.0,1.1364993942857144
NGC2976,27,0.969,0.879852,1.08235,1.22952,4.15795,5.39263,1,0,0,-3.0756,-4.31028,88.7,2.27,0.0557918,0.141056,231792000000.0,11.3651,1.12324e-10,-9.94953,1,1,1.0,1.1364993942857144
NGC2998,13,1.252,1.13682,4.30707,12.5405,45.6397,21.3874,1,0,0,-41.3326,-17.0803,214.0,42.28,0.0619386,0.196928,3255140000000.0,12.5126,3.51028e-11,-10.4547,1,1,1.0,1.1364993942857144
